Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
IRAGE BROKING SERVICES LLP,INZ000011262,Registered Stock Brokers in Equity Derivative Segment,exchange-communication@irage.in,0919903048099,,"Unit 1 and 2, 17th Floor Gift One Tower, Road Sc Zone 5, Gift City",,,"Nov 16, 2015 - Perpetual",IRAGE BROKING SERVICES LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
IRAGE BROKING SERVICES LLP,INZ000011262,Registered Stock Brokers in Currency Derivative Segment,exchange-communication@irage.in,0919903048099,,"Unit 1 and 2, 17th Floor Gift One Tower, Road Sc Zone 5, Gift City",,,"Nov 16, 2015 - Perpetual",IRAGE BROKING SERVICES LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
IRONCLAD ASSET MANAGEMENT LLP,INP000009074,Registered Portfolio Managers,info@ironcladasset.com,00917666108654,00917666108654,"C175, Sector 100 G B Nagar, NOIDA, UTTAR PRADESH, 201301",Chirag Nai,"3rd Floor C 175, Sector 100 G B Nagar, NOIDA, UTTAR PRADESH, 201301","Oct 28, 2024 - Perpetual",,,,,,,
ISF SECURITIES LIMITED,INZ000211738,Registered Stock Brokers in Equity Derivative Segment,sunil.khemka@isfsecurities.com,9101143500300,,"5A/4B, Ansari Road Daryaganj",,,"Feb 01, 1996 - Perpetual",ISF SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISF SECURITIES LIMITED,INZ000211738,Registered Stock Brokers in Equity Derivative Segment,sunil.khemka@isfsecurities.com,9101143500300,,"5A/4B, Ansari Road Daryaganj",,,"Feb 01, 1996 - Perpetual",ISF SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISF SECURITIES LIMITED,INZ000211738,Registered Stock Brokers in equity segment,sunil.khemka@isfsecurities.com,9101143500300,,"5A/4B, Ansari Road Daryaganj",,,"Feb 01, 1996 - Perpetual",ISF SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ISF SECURITIES LIMITED,INZ000211738,Registered Stock Brokers in equity segment,sunil.khemka@isfsecurities.com,9101143500300,,"5A/4B, Ansari Road Daryaganj",,,"Feb 01, 1996 - Perpetual",ISF SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHAAN EXIMCO PVT. LTD.,INE261332634,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Feb 19, 2009 - Perpetual",ISHAAN EXIMCO PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
ISHAN STOCK BROKING PRIVATE LIMITED,INZ000322231,Registered Stock Brokers in equity segment,savanthakker9@gmail.com,0000000000,,"1121, Satyamev Eminence B/S Saptak Bungalows, Sola",,,"Nov 28, 2024 - Perpetual",ISHAN STOCK BROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHAN STOCK BROKING PRIVATE LIMITED,INZ000322231,Registered Stock Brokers in Equity Derivative Segment,savanthakker9@gmail.com,0000000000,,"1121, Satyamev Eminence B/S Saptak Bungalows, Sola",,,"Nov 28, 2024 - Perpetual",ISHAN STOCK BROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHANIKA SECURITIES PRIVATE LIMITED,INZ000008136,Registered Stock Brokers in equity segment,,,,,,,"Jul 23, 2015 - Perpetual",ISHANIKA SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHANIKA SECURITIES PRIVATE LIMITED,INZ000008136,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jul 23, 2015 - Perpetual",ISHANIKA SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in equity segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,NSE Clearing Limited,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in equity segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in equity segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in equity segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ISHTA SECURITIES,INZ000102129,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Mar 10, 2017 - Perpetual",ISHTA SECURITES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISJ SECURITIES PRIVATE LIMITED,INE011044931,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Nov 20, 2008 - Perpetual",ISJ SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISJ SECURITIES PRIVATE LIMITED,INE231094138,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Aug 27, 2008 - Perpetual",ISJ SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISJ SECURITIES PVT. LTD.,INZ000269935,Registered Stock Brokers in equity segment,info@isisec.com,9102240155431,,"407, 4th Floor, P. J. Towers, Dalal Street,",,,"Dec 23, 1998 - Perpetual",ISJ SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISJ SECURITIES PVT. LTD.,INZ000269935,Registered Stock Brokers in equity segment,info@isisec.com,9102240155431,,"407, 4th Floor, P. J. Towers, Dalal Street,",,,"Dec 23, 1998 - Perpetual",ISJ SECURITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ISJ SECURITIES PVT. LTD.,INE261044931,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 30, 2008 - Perpetual",ISJ SECURITIES PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
ISK ADVISORS PRIVATE LIMITED,INM000012625,Merchant Bankers,ncmpl@ncmpl.com,917926403765,,"5, LAXMI SOCIETY, BEHIND SASUJI DINING HALL, OFF CG ROAD, AHMEDABAD, GUJARAT, 380006",RONAK KADRI,"5, LAXMI SOCIETY, BEHIND SASUJI DINING HALL, OFF CG ROAD, AHMEDABAD, GUJARAT, 380006","Jan 21, 2019 - Perpetual",,,,,,,
ISK EQUITIES PRIVATE LIMITED,INZ000324434,Registered Stock Brokers in equity segment,iskequities@gmail.com,0790026464023,,"5, Laxmi Society, B/h Sibaoff CG Road, Navrangpura",,,"Jan 06, 2025 - Perpetual",ISK EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISS ENTERPRISE LIMITED,INZ000157633,Registered Stock Brokers in equity segment,sivaraman@iseindia.com,9102261829500,,"INTERNATIONAL INFOTECH PARK, TOWER NO.7, 5 FLOOR SECTOR-30, VASHI,",,,"Sep 26, 2017 - Perpetual",ISS ENTERPRISE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISSL SETTLEMENT & TRANSACTION SERVICES LIMITED,INZ000045432,Registered Stock Brokers in equity segment,FNO.GROUP@ISSL.CO.IN,2242493000,,"IL&FS HOUSE, 14, RAHEJA VIHAR, CHANDIVLI, ANDHERI(EAST),",,,"Dec 24, 2015 - Perpetual",ISSL SETTLEMENT & TRANSACTION SERVICES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in equity segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NSE Clearing Limited,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in equity segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NSE Clearing Limited,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in Equity Derivative Segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NSE Clearing Limited,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in equity segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in Equity Derivative Segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in Currency Derivative Segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in equity segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in equity segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in Equity Derivative Segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISTAA FINSERV PRIVATE LIMITED,INZ000220334,Registered Stock Brokers in Currency Derivative Segment,info@istaa.com,0919702999943,,"12-A/4, NEW SION CO-OP HSG. SOC. LTD. OPP. S I E S COLLEGE, SION WEST",,,"Jul 21, 2009 - Perpetual",ISTAA FINSERV PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ISWARI PRASAD PODDAR,INB030920611,Registered Stock Brokers in equity segment,,,,,,,"Jun 20, 1996 - Perpetual",ISWARI PODDAR & SONS,CALCUTTA STOCK EXCHANGE,,,,,
ITHOUGHT FINANCIAL CONSULTING LLP,INP000006448,Registered Portfolio Managers,saravanan@ithought.co.in,9104443308171,9104443308171,"LEVEL 5, CAPITALE TOWERS, , 555,ANNASALAI, TEYNAMPET, CHENNAI, CHENNAI, TAMIL NADU, 600018",SARAVANAKUMAR VELUCHAMY,"LEVEL 5, CAPITALE TOWERS, , 555,ANNASALAI, TEYNAMPET, CHENNAI, CHENNAI, TAMIL NADU, 600018","Mar 13, 2019 - Perpetual",,,ithought.co.in/services/portfolio-management-services/,,,,
ITI ALTERNATE FUNDS MANAGEMENT LIMITED,INP000006402,Registered Portfolio Managers,pmscompliance@itiorg.com,9102266214749,9102266214749,"ITI House, 36, Dr. R. K. Shirodkar Road, Parel, MUMBAI, MAHARASHTRA, 400012",Komal Rathod,"ITI House, 36, Dr. R. K. Shirodkar Road, Parel, MUMBAI, MAHARASHTRA, 400012","Feb 27, 2019 - Perpetual",,,,,,,
ITI CAPITAL LIMITED,INM000010924,Merchant Bankers,compliance@iticapital.in,9102269113300,9102269113300,"ITI House 36, Dr. R. K. Shirodkar Marg, Parel, MUMBAI, MAHARASHTRA, 400012",Pallavi Shinde,"ITI House 36, Dr. R. K. Shirodkar Marg, Parel, MUMBAI, MAHARASHTRA, 400012","Aug 03, 2015 - Perpetual",,,,,,,
ITI FINANCIAL SERVICES LIMITED,INF261338637,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 06, 2013 - Perpetual",ITI FINANCIAL SERVICES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
ITI FINANCIAL SERVICES LIMITED,INB261338637,Registered Stock Brokers in equity segment,,,,,,,"Feb 06, 2013 - Perpetual",ITI FINANCIAL SERVICES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
ITI FINANCIAL SERVICES LIMITED,INE231202830,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Aug 27, 2008 - Perpetual",ITI FINANCIAL SERVICES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI FINANCIAL SERVICES LIMITED,INE231338634,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Mar 04, 2010 - Perpetual",ITI FINANCIAL SERVICES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI FINANCIAL SERVICES LTD,INE261202830,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 30, 2008 - Perpetual",ITI FINACIAL SERVICES LTD,METROPOLITAN STOCK EXCHANGE,,,,,
ITI FINANCIAL SERVICES LTD.,INF231202830,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 16, 2004 - Perpetual",ITI FINANCIAL SERVICES LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI GILTS LIMITED,INZ000103036,Registered Stock Brokers in equity segment,bipin.gupta@itigroup.co.in,9102240273600,9102266214849,"NAMAN MIDTOWN, A-WING, UNIT NO. 2103, 21ST FLOOR, SENAPATI BAPAT MARG,",,,"Mar 23, 2017 - Perpetual",ITI GILTS LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ITI GILTS LIMITED,INZ000103036,Registered Stock Brokers in equity segment,bipin.gupta@itigroup.co.in,9102240273600,9102266214849,"NAMAN MIDTOWN, A-WING, UNIT NO. 2103, 21ST FLOOR, SENAPATI BAPAT MARG,",,,"Mar 23, 2017 - Perpetual",ITI GILTS LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in Equity Derivative Segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,NSE Clearing Limited,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in equity segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,NSE Clearing Limited,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in equity segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in equity segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in equity segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in Equity Derivative Segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in Equity Derivative Segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI SECURITIES BROKING LIMITED,INZ000005835,Registered Stock Brokers in Currency Derivative Segment,compliance@itiorg.com,9102240273600,9102240273700,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel,",,,"Mar 31, 2015 - Perpetual",ITI SECURITIES BROKING LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI SECURITIES LIMITED,INB230601235,Registered Stock Brokers in equity segment,,,,,,,"May 27, 1994 - Perpetual",ITI SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITI SECURITIES LIMITED,INE230601235,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Aug 27, 2008 - Perpetual",ITI SECURITIES LIMITED,NSE Clearing Limited,,,,,
ITI SECURITIES LIMITED,INE260601235,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 29, 2008 - Perpetual",ITI SECURITIES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
ITI SECURITIES LIMITED,INE230601235,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Aug 27, 2008 - Perpetual",ITI SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
ITUS CAPITAL ADVISORS PVT LTD,INP000006341,Registered Portfolio Managers,naveenc@ituscapital.com,9104448629561,,"II Floor,Old No. 50, New No. 40, 2nd Main Road, RA Puram, CHENNAI, TAMIL NADU, 600028",Nandakumar B,"II Floor,Old No. 50, New No. 40, 2nd Main Road, RA Puram, CHENNAI, TAMIL NADU, 600028","Dec 21, 2018 - Perpetual",,,ituscapital.com/,,,,
IVYCAP VENTURES ADVISORS PRIVATE LIMITED,INP000008826,Registered Portfolio Managers,madhuri@ivycapventures.com,91007020902791,91007020902791,"301, A Wing Delphi, Orchard Avenue, Hiranandani Gardens, , Powai, MUMBAI, MAHARASHTRA, 400076",Madhuri Sawant,"301, A Wing Delphi, Orchard Avenue, Hiranandani Gardens, , Powai, MUMBAI, MAHARASHTRA, 400076","Jul 22, 2024 - Perpetual",,,ivycapventures.com/,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in equity segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in Equity Derivative Segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in Currency Derivative Segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in equity segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in equity segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,NSE Clearing Limited,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in Equity Derivative Segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J EKLERA SECURITIES PRIVATE LIMITED,INZ000310233,Registered Stock Brokers in Currency Derivative Segment,jeklerasecurities@gmail.com,912618469564400,,"Shop-707 International Business Center, Piplod",,,"Dec 12, 2022 - Perpetual",J EKLERA SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in equity segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Currency Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,METROPOLITAN STOCK EXCHANGE,,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in equity segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Equity Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Equity Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J G A SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Currency Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J G A SHAH SHARE BROKERS P LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J M GLOBAL EQUITIES PRIVATE LIMITED,INZ000203636,Registered Stock Brokers in equity segment,jmglobaleqities@gmail.com,910339820921067,,19 128 1FLOOR HAZRA ROAD KOLKATA,,,"Jan 07, 2010 - Perpetual",J M GLOBAL EQUITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J M GLOBAL EQUITIES PRIVATE LIMITED,INZ000203636,Registered Stock Brokers in Currency Derivative Segment,jmglobaleqities@gmail.com,910339820921067,,19 128 1FLOOR HAZRA ROAD KOLKATA,,,"Jan 07, 2010 - Perpetual",J M GLOBAL EQUITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J M GLOBAL EQUITIES PRIVATE LIMITED,INZ000203636,Registered Stock Brokers in Equity Derivative Segment,jmglobaleqities@gmail.com,910339820921067,,19 128 1FLOOR HAZRA ROAD KOLKATA,,,"Jan 07, 2010 - Perpetual",J M GLOBAL EQUITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J M GLOBAL EQUITIES PRIVATE LIMITED,INZ000203636,Registered Stock Brokers in Equity Derivative Segment,jmglobaleqities@gmail.com,910339820921067,,19 128 1FLOOR HAZRA ROAD KOLKATA,,,"Jan 07, 2010 - Perpetual",J M GLOBAL EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J M GLOBAL EQUITIES PRIVATE LIMITED,INZ000203636,Registered Stock Brokers in Currency Derivative Segment,jmglobaleqities@gmail.com,910339820921067,,19 128 1FLOOR HAZRA ROAD KOLKATA,,,"Jan 07, 2010 - Perpetual",J M GLOBAL EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J P MORGAN INDIA PVT. LIMITED,INM000002970,Merchant Bankers,india_securities_compliance@jpmorgan.com,912261573000,912261573000,"J. P. MORGAN TOWER, OFF. C. S. T , VIDYANAGARI MARG, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098",Spurthi Gadamsetty,"J. P. MORGAN TOWER, OFF. C. S. T , VIDYANAGARI MARG, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","Nov 01, 2014 - Perpetual",,,,,,,
J SATHEESH KANNAN,INA200013503,Investment Adviser,jrmskannan@gmail.com,09663078930,,"NO 80/1, Flat No 07 2nd Floor, 1st Main Road, B Channasandra, BANGALORE, KARNATAKA, 560016",J Satheesh Kannan,"NO 80/1, Flat No 07 2nd Floor, 1st Main Road, B Channasandra, BANGALORE, KARNATAKA, 560016","Jun 17, 2019 - Perpetual",,,,,,,
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in equity segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,NSE Clearing Limited,,,,,
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in equity segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
